transaction_unique_id,seller_company_name,customer_company_name,ferc_tariff_reference,contract_service_agreement,transaction_unique_identifier,transaction_begin_date,transaction_end_date,trade_date,exchange_brokerage_service,type_of_rate,time_zone,point_of_delivery_balancing_authority,point_of_delivery_specific_location,class_name,term_name,increment_name,increment_peaking_name,product_name,transaction_quantity,price,rate_units,standardized_quantity,standardized_price,total_transmission_charge,total_transaction_charge
T33358053,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T1,2020-01-01T00:00:00,2020-01-01T00:05:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.2333,3,$/MWH,,,0,0.7
T33358054,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T2,2020-01-01T00:05:00,2020-01-01T00:10:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.3167,3,$/MWH,,,0,0.95
T33358055,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T3,2020-01-01T00:10:00,2020-01-01T00:15:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.2583,3,$/MWH,,,0,0.77
T33358056,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T4,2020-01-01T00:15:00,2020-01-01T00:20:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.2583,3,$/MWH,,,0,0.77
T33358057,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T5,2020-01-01T00:20:00,2020-01-01T00:25:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.25,3,$/MWH,,,0,0.75
T33358058,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T6,2020-01-01T00:25:00,2020-01-01T00:30:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.3083,3,$/MWH,,,0,0.92
T33358059,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T7,2020-01-01T00:30:00,2020-01-01T00:35:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4417,3,$/MWH,,,0,1.33
T33358060,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T8,2020-01-01T00:35:00,2020-01-01T00:40:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.5417,3,$/MWH,,,0,1.63
T33358061,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T9,2020-01-01T00:40:00,2020-01-01T00:45:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.5833,3,$/MWH,,,0,1.75
