transaction_unique_id,seller_company_name,customer_company_name,ferc_tariff_reference,contract_service_agreement,transaction_unique_identifier,transaction_begin_date,transaction_end_date,trade_date,exchange_brokerage_service,type_of_rate,time_zone,point_of_delivery_balancing_authority,point_of_delivery_specific_location,class_name,term_name,increment_name,increment_peaking_name,product_name,transaction_quantity,price,rate_units,standardized_quantity,standardized_price,total_transmission_charge,total_transaction_charge
T33358081,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T29,2020-01-01T02:20:00,2020-01-01T02:25:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,3,$/MWH,,,0,1.25
T33358082,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T30,2020-01-01T02:25:00,2020-01-01T02:30:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4083,3,$/MWH,,,0,1.22
T33358083,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T31,2020-01-01T02:30:00,2020-01-01T02:35:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4,3,$/MWH,,,0,1.2
T33358084,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T32,2020-01-01T02:35:00,2020-01-01T02:40:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.3917,3,$/MWH,,,0,1.17
T33358085,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T33,2020-01-01T02:40:00,2020-01-01T02:45:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4,3,$/MWH,,,0,1.2
T33358086,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T34,2020-01-01T02:45:00,2020-01-01T02:50:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4,3,$/MWH,,,0,1.2
T33358087,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T35,2020-01-01T02:50:00,2020-01-01T02:55:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4083,3,$/MWH,,,0,1.22
T33358088,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T36,2020-01-01T02:55:00,2020-01-01T03:00:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4083,3,$/MWH,,,0,1.22
T33358089,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T37,2020-01-01T03:00:00,2020-01-01T03:05:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,1.6583,3,$/MWH,,,0,4.98
T33358090,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T38,2020-01-01T03:05:00,2020-01-01T03:10:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,1.65,3,$/MWH,,,0,4.95
